,close,value
2011-03-04 00:00:00,,29.079999999999998
2011-03-11 00:00:00,,28.170000000000002
2011-03-18 00:00:00,,27.899999999999999
2011-03-25 00:00:00,,28.690000000000001
2011-04-01 00:00:00,,28.510000000000002
2011-04-08 00:00:00,,28.010000000000002
2011-04-15 00:00:00,,26.530000000000001
2011-04-22 00:00:00,,26.289999999999999
2011-04-29 00:00:00,,25.600000000000001
2011-05-06 00:00:00,,24.210000000000001
2011-05-13 00:00:00,,24.5
2011-05-20 00:00:00,,23.989999999999998
2011-05-27 00:00:00,,24.289999999999999
2011-06-03 00:00:00,,23.780000000000001
2011-06-10 00:00:00,,23.719999999999999
2011-06-17 00:00:00,,23.239999999999998
2011-06-24 00:00:00,,22.870000000000001
2011-07-01 00:00:00,,23.75
2011-07-08 00:00:00,,23.440000000000001
2011-07-15 00:00:00,,22.989999999999998
2011-07-22 00:00:00,,22.969999999999999
2011-07-29 00:00:00,,23.5
2011-08-19 00:00:00,,19.699999999999999
2011-08-26 00:00:00,,19.899999999999999
2011-09-02 00:00:00,,20.370000000000001
2011-09-09 00:00:00,,20.149999999999999
2011-09-16 00:00:00,,20.649999999999999
2011-09-23 00:00:00,,19.16
2011-09-30 00:00:00,,19.100000000000001
2011-10-07 00:00:00,,18.300000000000001
2011-10-14 00:00:00,,19.640000000000001
2011-10-21 00:00:00,,19.27
2011-10-28 00:00:00,,21.579999999999998
2011-11-04 00:00:00,,22.100000000000001
2011-11-11 00:00:00,,21.960000000000001
2011-11-18 00:00:00,,21.75
2011-11-25 00:00:00,,21.010000000000002
2011-12-02 00:00:00,,22.530000000000001
2011-12-09 00:00:00,,23.02
2011-12-16 00:00:00,,21.300000000000001
2011-12-23 00:00:00,,22.219999999999999
2011-12-30 00:00:00,,21.489999999999998
2012-01-06 00:00:00,,22.329999999999998
2012-01-13 00:00:00,,23.050000000000001
2012-01-20 00:00:00,,24.219999999999999
2012-01-27 00:00:00,,24.670000000000002
2012-02-03 00:00:00,,24.609999999999999
2012-02-10 00:00:00,,23.5
2012-02-17 00:00:00,,24.050000000000001
2012-02-24 00:00:00,,24.48
2012-03-02 00:00:00,,25.300000000000001
2012-03-09 00:00:00,,23.710000000000001
2012-03-16 00:00:00,,24.350000000000001
2012-03-23 00:00:00,,23.699999999999999
2012-03-30 00:00:00,,23.350000000000001
2012-04-06 00:00:00,,22.0
2012-04-13 00:00:00,,21.670000000000002
2012-04-20 00:00:00,,21.460000000000001
2012-04-27 00:00:00,,20.93
2012-05-04 00:00:00,,20.48
2012-05-11 00:00:00,,19.530000000000001
2012-05-18 00:00:00,,19.07
2012-05-25 00:00:00,,18.640000000000001
2012-06-01 00:00:00,,18.800000000000001
2012-06-08 00:00:00,,18.879999999999999
2012-06-15 00:00:00,,18.550000000000001
